"year" "species" "gear" "disc.n" "disc.n.perc" "disc.wgt" "disc.wgt.perc" "CV"
"105" 2003 2 "Longlines" 33 0.28 14 0.08 100
"106" 2004 2 "Longlines" 64 0.42 24 0.1 28
"107" 2005 2 "Longlines" 867 4.37 385 1.25 6
"108" 2006 2 "Longlines" 1014 4.1 533 1.47 18
"109" 2007 2 "Longlines" 4 0.01 1 0.01 86
"110" 2008 2 "Longlines" 163 0.64 72 0.21 33
"111" 2009 2 "Longlines" 19 0.09 6 0.022 42
"112" 2010 2 "Longlines" 23 0.14 8 0.03 35
"113" 2011 2 "Longlines" 3 0.02 1 0.004 71
"114" 2012 2 "Longlines" 0 0 0 0 0
"115" 2013 2 "Longlines" 0 0 0 0 0
"116" 2014 2 "Longlines" 6 0.17 2 0.012 0
"117" 2015 2 "Longlines" 3 0.06 1 0.011 48
"118" 2016 2 "Longlines" 73 1.1 28 0.17 17
"119" 2017 2 "Longlines" 278 3.77 129 0.83 9
"120" 2018 2 "Longlines" 27 0.3 11 0.07 34
